level,t_s,container,cpu_pct,mem_mib,pids
1,4,k0cap-real-p1-0,2.82,197,41
1,7,k0cap-real-p1-0,6.64,203,41
1,12,k0cap-real-p1-0,3.34,210,41
1,15,k0cap-real-p1-0,1.46,215,41
1,19,k0cap-real-p1-0,3.4,197,41
1,23,k0cap-real-p1-0,0.79,197,41
1,26,k0cap-real-p1-0,2.16,199,41
1,30,k0cap-real-p1-0,2.28,199,41
1,33,k0cap-real-p1-0,3.44,200,41
1,37,k0cap-real-p1-0,1.91,200,41
1,41,k0cap-real-p1-0,1.92,199,41
1,44,k0cap-real-p1-0,1.77,202,42
1,48,k0cap-real-p1-0,6.43,203,42
1,52,k0cap-real-p1-0,5,204,42
1,56,k0cap-real-p1-0,5.25,206,42
1,59,k0cap-real-p1-0,4.91,207,42
1,63,k0cap-real-p1-0,0.77,206,42
1,66,k0cap-real-p1-0,0.76,208,42
1,71,k0cap-real-p1-0,3.34,209,42
1,74,k0cap-real-p1-0,2.04,210,42
1,78,k0cap-real-p1-0,47.48,327,55
1,82,k0cap-real-p1-0,35.54,549,55
1,86,k0cap-real-p1-0,1.42,214,42
1,89,k0cap-real-p1-0,118.88,276,42
1,93,k0cap-real-p1-0,0.66,276,44
1,96,k0cap-real-p1-0,11.78,299,55
1,101,k0cap-real-p1-0,26.94,437,83
1,104,k0cap-real-p1-0,2,437,83
1,108,k0cap-real-p1-0,6.05,427,83
1,112,k0cap-real-p1-0,6.63,401,83
1,116,k0cap-real-p1-0,1.74,400,83
1,119,k0cap-real-p1-0,59.66,617,95
1,123,k0cap-real-p1-0,35.89,644,107
1,126,k0cap-real-p1-0,30.08,681,107
1,131,k0cap-real-p1-0,30.19,684,107
1,134,k0cap-real-p1-0,83.06,609,107
1,138,k0cap-real-p1-0,3.03,447,85
1,142,k0cap-real-p1-0,0.95,446,85
1,146,k0cap-real-p1-0,0.9,447,85
1,149,k0cap-real-p1-0,2.03,442,83
1,153,k0cap-real-p1-0,1.3,444,83
1,156,k0cap-real-p1-0,1.54,445,83
1,161,k0cap-real-p1-0,2.1,444,83
1,164,k0cap-real-p1-0,70.82,349,64
1,168,k0cap-real-p1-0,1.72,427,81
2,5,k0cap-real-p2-0,0.6,196,40
2,5,k0cap-real-p2-1,2.16,194,41
2,8,k0cap-real-p2-0,2.95,203,40
2,8,k0cap-real-p2-1,2.94,200,41
2,12,k0cap-real-p2-0,1.48,207,41
2,12,k0cap-real-p2-1,0.63,191,41
2,16,k0cap-real-p2-0,1.67,212,41
2,16,k0cap-real-p2-1,0.77,206,41
2,21,k0cap-real-p2-0,0.67,193,41
2,21,k0cap-real-p2-1,1.46,190,41
2,25,k0cap-real-p2-0,1.95,198,41
2,25,k0cap-real-p2-1,4.69,199,41
2,30,k0cap-real-p2-0,1.58,197,41
2,30,k0cap-real-p2-1,2.25,193,41
2,33,k0cap-real-p2-0,2.55,198,41
2,33,k0cap-real-p2-1,3.51,195,41
2,38,k0cap-real-p2-0,1.78,198,41
2,38,k0cap-real-p2-1,1.92,194,41
2,42,k0cap-real-p2-0,1.97,198,41
2,42,k0cap-real-p2-1,0.49,196,41
2,46,k0cap-real-p2-0,1.84,198,40
2,46,k0cap-real-p2-1,3.84,198,42
2,51,k0cap-real-p2-0,0.67,199,41
2,51,k0cap-real-p2-1,3.3,200,42
2,55,k0cap-real-p2-0,1.68,201,41
2,55,k0cap-real-p2-1,1.43,200,42
2,59,k0cap-real-p2-0,2.1,184,41
2,59,k0cap-real-p2-1,4.31,204,42
2,62,k0cap-real-p2-0,5.77,197,41
2,62,k0cap-real-p2-1,2.84,211,42
2,67,k0cap-real-p2-0,0,0,0
2,67,k0cap-real-p2-1,33.27,404,55
2,71,k0cap-real-p2-0,0,0,0
2,71,k0cap-real-p2-1,11.4,222,42
2,74,k0cap-real-p2-0,0,0,0
2,74,k0cap-real-p2-1,4.99,222,42
2,78,k0cap-real-p2-0,0,0,0
2,78,k0cap-real-p2-1,1.76,293,65
2,82,k0cap-real-p2-0,0,0,0
2,82,k0cap-real-p2-1,6.54,293,65
2,85,k0cap-real-p2-0,0,0,0
2,85,k0cap-real-p2-1,4.31,285,65
2,89,k0cap-real-p2-0,0,0,0
2,89,k0cap-real-p2-1,5.38,288,65
2,92,k0cap-real-p2-0,0,0,0
2,92,k0cap-real-p2-1,51.65,490,78
2,96,k0cap-real-p2-0,0,0,0
2,96,k0cap-real-p2-1,12.6,332,65
2,101,k0cap-real-p2-0,0,0,0
2,101,k0cap-real-p2-1,1.66,333,65
2,104,k0cap-real-p2-0,0,0,0
2,104,k0cap-real-p2-1,4.67,340,65
2,108,k0cap-real-p2-0,0,0,0
2,108,k0cap-real-p2-1,45.15,342,65
2,112,k0cap-real-p2-0,0,0,0
2,112,k0cap-real-p2-1,0.49,349,67
2,115,k0cap-real-p2-0,0,0,0
2,115,k0cap-real-p2-1,1.86,406,83
2,119,k0cap-real-p2-0,0,0,0
2,119,k0cap-real-p2-1,48.9,483,95
2,122,k0cap-real-p2-0,0,0,0
2,122,k0cap-real-p2-1,2.16,412,83
2,126,k0cap-real-p2-0,0,0,0
2,126,k0cap-real-p2-1,1.97,413,83
2,131,k0cap-real-p2-0,0,0,0
2,131,k0cap-real-p2-1,100.14,447,83
2,134,k0cap-real-p2-0,0,0,0
2,134,k0cap-real-p2-1,1.57,654,119
2,138,k0cap-real-p2-0,0,0,0
2,138,k0cap-real-p2-1,28.35,674,119
2,142,k0cap-real-p2-0,0,0,0
2,142,k0cap-real-p2-1,28.27,671,119
2,145,k0cap-real-p2-0,0,0,0
2,145,k0cap-real-p2-1,27.16,676,119
2,149,k0cap-real-p2-0,0,0,0
2,149,k0cap-real-p2-1,136.21,656,119
2,152,k0cap-real-p2-0,0,0,0
2,152,k0cap-real-p2-1,13.2,626,119
2,156,k0cap-real-p2-0,0,0,0
2,156,k0cap-real-p2-1,27.41,653,119
2,161,k0cap-real-p2-0,0,0,0
2,161,k0cap-real-p2-1,137.34,662,119
2,164,k0cap-real-p2-0,0,0,0
2,164,k0cap-real-p2-1,46.87,593,138
2,168,k0cap-real-p2-0,0,0,0
2,168,k0cap-real-p2-1,3.98,570,83
2,172,k0cap-real-p2-0,0,0,0
2,172,k0cap-real-p2-1,1.29,569,83
2,175,k0cap-real-p2-0,0,0,0
2,175,k0cap-real-p2-1,2.12,558,83
2,179,k0cap-real-p2-0,0,0,0
2,179,k0cap-real-p2-1,36.61,639,117
2,182,k0cap-real-p2-0,0,0,0
2,182,k0cap-real-p2-1,0.84,637,117
2,186,k0cap-real-p2-0,0,0,0
2,186,k0cap-real-p2-1,25.18,640,115
2,191,k0cap-real-p2-0,0,0,0
2,191,k0cap-real-p2-1,6.28,636,115
2,194,k0cap-real-p2-0,0,0,0
2,194,k0cap-real-p2-1,72.44,833,204
2,198,k0cap-real-p2-0,0,0,0
2,198,k0cap-real-p2-1,3.47,699,120
2,202,k0cap-real-p2-0,0,0,0
2,202,k0cap-real-p2-1,39.92,864,211
2,205,k0cap-real-p2-0,0,0,0
2,205,k0cap-real-p2-1,2.2,688,120
2,209,k0cap-real-p2-0,0,0,0
2,209,k0cap-real-p2-1,1.07,854,208
2,212,k0cap-real-p2-0,0,0,0
2,212,k0cap-real-p2-1,1.61,697,120
2,216,k0cap-real-p2-0,0,0,0
2,216,k0cap-real-p2-1,0.83,858,210
2,221,k0cap-real-p2-0,0,0,0
2,221,k0cap-real-p2-1,2.42,704,120
2,224,k0cap-real-p2-0,0,0,0
2,224,k0cap-real-p2-1,6.39,713,120
2,228,k0cap-real-p2-0,0,0,0
2,228,k0cap-real-p2-1,23.6,709,120
2,232,k0cap-real-p2-0,0,0,0
2,232,k0cap-real-p2-1,1.39,714,120
2,235,k0cap-real-p2-0,0,0,0
2,235,k0cap-real-p2-1,6.04,711,120
2,239,k0cap-real-p2-0,0,0,0
2,239,k0cap-real-p2-1,1.04,678,122
2,242,k0cap-real-p2-0,0,0,0
2,242,k0cap-real-p2-1,1.11,682,122
2,246,k0cap-real-p2-0,0,0,0
2,246,k0cap-real-p2-1,0.91,682,120
2,251,k0cap-real-p2-0,0,0,0
2,251,k0cap-real-p2-1,1.83,684,120
2,254,k0cap-real-p2-0,0,0,0
2,254,k0cap-real-p2-1,0.98,875,212
2,258,k0cap-real-p2-0,0,0,0
2,258,k0cap-real-p2-1,1.61,711,120
2,262,k0cap-real-p2-0,0,0,0
2,262,k0cap-real-p2-1,1.91,712,120
2,265,k0cap-real-p2-0,0,0,0
2,265,k0cap-real-p2-1,23.96,717,120
2,269,k0cap-real-p2-0,0,0,0
2,269,k0cap-real-p2-1,0.57,715,122
2,272,k0cap-real-p2-0,0,0,0
2,272,k0cap-real-p2-1,1.26,714,122
2,276,k0cap-real-p2-0,0,0,0
2,276,k0cap-real-p2-1,0.88,715,120
2,281,k0cap-real-p2-0,0,0,0
2,281,k0cap-real-p2-1,2.42,720,120
2,284,k0cap-real-p2-0,0,0,0
2,284,k0cap-real-p2-1,1.45,722,120
2,288,k0cap-real-p2-0,0,0,0
2,288,k0cap-real-p2-1,50.16,956,209
2,292,k0cap-real-p2-0,0,0,0
2,292,k0cap-real-p2-1,1.18,954,209
2,295,k0cap-real-p2-0,0,0,0
2,295,k0cap-real-p2-1,2.09,956,207
2,299,k0cap-real-p2-0,0,0,0
2,299,k0cap-real-p2-1,3.92,997,203
2,303,k0cap-real-p2-0,0,0,0
2,303,k0cap-real-p2-1,2.02,998,203
2,306,k0cap-real-p2-0,0,0,0
2,306,k0cap-real-p2-1,2.33,960,203
2,311,k0cap-real-p2-0,0,0,0
2,311,k0cap-real-p2-1,30.69,919,202
2,314,k0cap-real-p2-0,0,0,0
2,314,k0cap-real-p2-1,0,0,0
4,7,k0cap-real-p4-0,5.88,204,41
4,7,k0cap-real-p4-1,0.99,198,42
4,7,k0cap-real-p4-2,0.59,193,41
4,7,k0cap-real-p4-3,1.39,194,41
4,12,k0cap-real-p4-0,7.64,197,41
4,12,k0cap-real-p4-1,0.93,189,42
4,12,k0cap-real-p4-2,2.12,187,41
4,12,k0cap-real-p4-3,1.58,187,41
4,16,k0cap-real-p4-0,2.9,202,41
4,16,k0cap-real-p4-1,0.73,190,42
4,16,k0cap-real-p4-2,0.52,187,41
4,16,k0cap-real-p4-3,0.84,189,41
4,20,k0cap-real-p4-0,7.31,203,41
4,20,k0cap-real-p4-1,2.28,204,42
4,20,k0cap-real-p4-2,2,198,41
4,20,k0cap-real-p4-3,1.71,196,41
4,24,k0cap-real-p4-0,2.2,203,41
4,24,k0cap-real-p4-1,0.57,204,42
4,24,k0cap-real-p4-2,0.37,198,41
4,24,k0cap-real-p4-3,0.53,198,41
4,30,k0cap-real-p4-0,1.91,206,41
4,30,k0cap-real-p4-1,1.99,205,42
4,30,k0cap-real-p4-2,2.08,202,41
4,30,k0cap-real-p4-3,3.23,201,41
4,34,k0cap-real-p4-0,2.55,206,41
4,34,k0cap-real-p4-1,2.36,206,42
4,34,k0cap-real-p4-2,2.7,202,41
4,34,k0cap-real-p4-3,2.19,202,41
4,39,k0cap-real-p4-0,1.4,206,41
4,39,k0cap-real-p4-1,1.85,206,42
4,39,k0cap-real-p4-2,1.51,203,41
4,39,k0cap-real-p4-3,1.75,205,41
4,43,k0cap-real-p4-0,2.14,207,41
4,43,k0cap-real-p4-1,1.59,206,42
4,43,k0cap-real-p4-2,1.85,202,41
4,43,k0cap-real-p4-3,3.86,207,41
4,48,k0cap-real-p4-0,1.5,207,40
4,48,k0cap-real-p4-1,1.86,208,42
4,48,k0cap-real-p4-2,5.26,208,41
4,48,k0cap-real-p4-3,1.78,206,41
4,52,k0cap-real-p4-0,2.74,209,41
4,52,k0cap-real-p4-1,2.24,209,42
4,52,k0cap-real-p4-2,1.02,205,41
4,52,k0cap-real-p4-3,2.27,207,41
4,57,k0cap-real-p4-0,1.13,211,42
4,57,k0cap-real-p4-1,6.01,211,42
4,57,k0cap-real-p4-2,1.5,208,42
4,57,k0cap-real-p4-3,2.08,208,41
4,61,k0cap-real-p4-0,27.31,255,55
4,61,k0cap-real-p4-1,1.05,214,44
4,61,k0cap-real-p4-2,5.17,212,42
4,61,k0cap-real-p4-3,1.83,207,41
4,65,k0cap-real-p4-0,101.42,433,55
4,65,k0cap-real-p4-1,3.47,215,42
4,65,k0cap-real-p4-2,1.33,212,42
4,65,k0cap-real-p4-3,5.2,209,41
4,70,k0cap-real-p4-0,0.47,293,68
4,70,k0cap-real-p4-1,74.7,439,55
4,70,k0cap-real-p4-2,4.49,214,42
4,70,k0cap-real-p4-3,0.7,210,41
4,74,k0cap-real-p4-0,2.03,294,66
4,74,k0cap-real-p4-1,0.56,296,67
4,74,k0cap-real-p4-2,3.81,216,42
4,74,k0cap-real-p4-3,1.73,211,43
4,79,k0cap-real-p4-0,2.53,286,66
4,79,k0cap-real-p4-1,2.03,297,65
4,79,k0cap-real-p4-2,55.69,506,55
4,79,k0cap-real-p4-3,5.29,225,43
4,83,k0cap-real-p4-0,1.89,288,66
4,83,k0cap-real-p4-1,1.28,277,65
4,83,k0cap-real-p4-2,14.72,210,42
4,83,k0cap-real-p4-3,1.8,212,43
4,88,k0cap-real-p4-0,0.94,282,66
4,88,k0cap-real-p4-1,8.61,279,65
4,88,k0cap-real-p4-2,90.39,446,62
4,88,k0cap-real-p4-3,1.57,214,43
4,92,k0cap-real-p4-0,1.96,283,66
4,92,k0cap-real-p4-1,3.91,319,77
4,92,k0cap-real-p4-2,1.61,266,42
4,92,k0cap-real-p4-3,4.34,217,43
4,97,k0cap-real-p4-0,53.05,259,65
4,97,k0cap-real-p4-1,2.1,318,77
4,97,k0cap-real-p4-2,8.6,385,83
4,97,k0cap-real-p4-3,5.28,194,41
4,101,k0cap-real-p4-0,0,0,0
4,101,k0cap-real-p4-1,1.96,311,77
4,101,k0cap-real-p4-2,2.15,385,83
4,101,k0cap-real-p4-3,0,0,0
4,105,k0cap-real-p4-0,0,0,0
4,105,k0cap-real-p4-1,1.77,321,77
4,105,k0cap-real-p4-2,0.69,377,83
4,105,k0cap-real-p4-3,0,0,0
4,110,k0cap-real-p4-0,0,0,0
4,110,k0cap-real-p4-1,1.34,314,77
4,110,k0cap-real-p4-2,6.78,382,83
4,110,k0cap-real-p4-3,0,0,0
4,114,k0cap-real-p4-0,0,0,0
4,114,k0cap-real-p4-1,2.3,313,77
4,114,k0cap-real-p4-2,6.5,286,42
4,114,k0cap-real-p4-3,0,0,0
4,119,k0cap-real-p4-0,0,0,0
4,119,k0cap-real-p4-1,0.92,279,75
4,119,k0cap-real-p4-2,2.06,287,42
4,119,k0cap-real-p4-3,0,0,0
4,122,k0cap-real-p4-0,0,0,0
4,122,k0cap-real-p4-1,0,0,0
4,122,k0cap-real-p4-2,34.93,249,40
4,122,k0cap-real-p4-3,0,0,0
4,125,k0cap-real-p4-0,0,0,0
4,125,k0cap-real-p4-1,0,0,0
4,125,k0cap-real-p4-2,0,0,0
4,125,k0cap-real-p4-3,0,0,0
